"RELEASE_NUMBER","INTERVIEW_ID","AGE","OCC_2010","HOURLY.REGULAR.RATE","YRS.PRES.EMP","WAGES","WTR.GRADUATED","YR.WRKED.FULLTIME","WORK.WEEKS","TOTAL.HOURS","COMPLETED.ED","SEX_1","SEX_2","RACE_1","RACE_2","RACE_3","RACE_4","RACE_5","RACE_7","RACE_9","CURRENT.REGION_1","CURRENT.REGION_2","CURRENT.REGION_3","CURRENT.REGION_4","CURRENT.REGION_5","CURRENT.REGION_6","YEAR_2017","YEAR_2019","occupation_des","soc_code"
2,3493,47,3255,33,18,70000,1,0,49,1236,17,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,2874,41,7330,0,16,65000,1,1,51,2550,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,2995,26,5860,12,0,30000,1,8,50,2000,14,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,2757,71,9130,15.5,4,27000,1,21,50,1736,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,3156,47,4700,0,0,118956,1,2,50,3000,13,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,2089,66,230,0,25,70000,1,12,49,1960,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,1440,65,2550,0,0,21000,1,11,26,416,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,1941,36,120,0,0,60000,1,3,43,2349,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,1576,24,6355,25.53,2,75000,1,2,47,1960,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,1407,59,2000,0,10,107000,1,8,51,1792,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,1547,29,2320,0,3,55000,1,2,51,3517,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,3783,79,0,0,0,0,1,27,0,0,14,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,7213,50,5510,34,17,115000,1,3,45,2043,14,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
