ER72001,ER72002,ER72017,ER72018,ER72195,ER72217,ER72231,ER73069,ER76897,ER76962,ER77249,ER77255,ER77588,ER77591,ER77599
1,1158,39,1,1050,0,5,106000,1,11,47,1864,96918.09,4,16
1,174,28,1,4850,0,0,20000,1,6,43,1750,55436,2,14
1,58,27,1,8965,15,2,32000,1,9,52,2838,29150,2,12
1,2045,65,1,140,0,0,20074,1,9,52,2080,58230,2,17
1,2000,61,1,2320,0,6,9999999,1,5,52,1820,76030.62,2,17
1,2665,40,2,2200,0,3,57200,1,6,48,2880,28372,2,16
1,1599,35,1,1010,0,6,120000,1,2,47,1880,89100,2,17
1,2023,32,1,2320,0,8,55000,1,2,51,2550,31610,2,17
1,2226,30,2,1820,0,4,60000,1,2,49,2205,36860,2,15
1,1779,28,1,2200,0,2,113000,1,0,48,1680,40608.64,2,17
1,1764,25,2,725,0,0,9999999,1,0,33,666,21633.56,2,17
1,2364,73,1,0,0,0,0,1,17,0,0,65406,2,17
1,2269,72,1,0,0,0,0,1,16,0,0,86432,1,17
1,2900,67,1,0,0,0,0,1,40,0,0,22285.48,1,12
1,3236,33,1,7700,15.5,3,36000,1,4,50,2419,61696,1,12
1,2940,31,2,4700,19,13,52000,1,2,47,1980,29488,1,12
1,3303,30,2,4350,14,8,17000,1,9,49,2174,39878,1,14
1,3050,30,1,3800,0,6,50000,1,8,52,2080,43526.38,1,12
1,2325,61,1,600,28,1,58463,1,6,51,2060,66590,1,15
1,1489,76,1,0,0,0,0,1,12,0,0,22594,1,16
1,1483,30,1,1410,0,2,135000,1,2,49,2058,93330,3,16
1,2373,33,1,4250,0,0,0,1,2,35,1750,74646.61,1,13
1,5338,72,2,0,0,0,0,1,20,0,0,59404,3,16
1,9558,41,1,2200,0,5,16500,1,0,52,1300,46927.71,3,16
1,2434,80,2,0,0,0,0,1,27,0,0,14628.45,3,12
1,4059,59,2,4940,0,0,25000,1,7,14,560,16010,1,12
1,4446,42,1,7200,999,21,9999999,1,3,51,2550,30699.91,1,12
1,4057,62,1,0,0,0,0,1,10,0,0,68640,1,12
1,4135,30,1,7900,998,12,46000,1,10,52,2600,34600.58,1,11
1,3375,40,1,910,19.96,4,40000,1,3,49,2205,55050,3,16
1,2909,37,1,1410,0,0,113000,1,9,52,2496,78520,1,17
1,3242,70,1,0,0,0,0,1,12,0,0,74520,3,17
1,3976,37,1,4610,0,1,30000,1,15,35,1416,100768.3,3,12
1,9117,39,1,1550,12,0,30000,1,0,41,1025,51360,6,17
1,7323,33,1,4700,0,0,175000,1,8,52,3120,103975,3,17
1,7097,30,1,5910,0,0,2500,1,0,20,275,61560,6,13
1,4619,70,1,0,0,0,0,1,4,0,0,51840,3,16
1,7250,28,1,0,0,0,0,1,0,0,0,31940,6,12
1,5093,88,2,0,0,0,0,1,62,0,0,40251.81,2,13
1,1467,85,2,0,0,0,0,1,11,0,0,55896.3,4,17
